Item_Id,vtex_sku_id,status
1120385,N/A,Unmapped
1120386,N/A,Unmapped
1120387,N/A,Unmapped
1120388,N/A,Unmapped
1120392,N/A,Unmapped
1120393,N/A,Unmapped
1120402,N/A,Unmapped
1120405,N/A,Unmapped
1120406,N/A,Unmapped
1120407,N/A,Unmapped
1120413,N/A,Unmapped
1120414,N/A,Unmapped
1120418,N/A,Unmapped
1120419,N/A,Unmapped
1120420,N/A,Unmapped
1120421,N/A,Unmapped
1120422,N/A,Unmapped
1120423,N/A,Unmapped
1120425,N/A,Unmapped
1120429,N/A,Unmapped
1120432,N/A,Unmapped
1120433,N/A,Unmapped
1120434,N/A,Unmapped
1120435,N/A,Unmapped
1120436,N/A,Unmapped
1120437,N/A,Unmapped
1120439,N/A,Unmapped
1120440,N/A,Unmapped
1120441,N/A,Unmapped
1120454,N/A,Unmapped
1120457,N/A,Unmapped
1120458,N/A,Unmapped
1120466,N/A,Unmapped
1120467,N/A,Unmapped
1120469,N/A,Unmapped
1120471,N/A,Unmapped
1120472,N/A,Unmapped
1120480,N/A,Unmapped
1120481,N/A,Unmapped
1120482,N/A,Unmapped
1120501,N/A,Unmapped
1120502,N/A,Unmapped
1120505,N/A,Unmapped
1120509,N/A,Unmapped
1120510,N/A,Unmapped
1120512,N/A,Unmapped
1120514,N/A,Unmapped
1120526,N/A,Unmapped
1120534,N/A,Unmapped
1120726,21743,Mapped
1120727,8062,Mapped
1120886,10955,Mapped
1121074,3643,Mapped
1121595,7818,Mapped
1121630,4459,Mapped
1121640,60435,Mapped
1121654,23893,Mapped
1122052,N/A,Unmapped
1122064,31283,Mapped
1122536,N/A,Unmapped
1122539,N/A,Unmapped
1122540,N/A,Unmapped
1122541,N/A,Unmapped
1122552,N/A,Unmapped
1122553,N/A,Unmapped
1122554,N/A,Unmapped
1122555,N/A,Unmapped
1122556,N/A,Unmapped
1122557,N/A,Unmapped
1122559,N/A,Unmapped
1122560,N/A,Unmapped
1122561,N/A,Unmapped
1122565,N/A,Unmapped
1122566,N/A,Unmapped
1122567,N/A,Unmapped
1122568,N/A,Unmapped
1122569,N/A,Unmapped
1122571,N/A,Unmapped
1122572,N/A,Unmapped
1122573,N/A,Unmapped
1122574,N/A,Unmapped
1122575,N/A,Unmapped
1122576,N/A,Unmapped
1122577,N/A,Unmapped
1122580,N/A,Unmapped
1122583,N/A,Unmapped
1122584,N/A,Unmapped
1122586,N/A,Unmapped
1122594,N/A,Unmapped
1122595,N/A,Unmapped
1122596,N/A,Unmapped
1122597,N/A,Unmapped
1122599,N/A,Unmapped
1122606,N/A,Unmapped
1122607,N/A,Unmapped
1122610,N/A,Unmapped
1122611,N/A,Unmapped
1122612,N/A,Unmapped
1122613,N/A,Unmapped
1122614,N/A,Unmapped
1122617,N/A,Unmapped
1122619,N/A,Unmapped
1122620,N/A,Unmapped
1122621,N/A,Unmapped
1122624,N/A,Unmapped
1122625,N/A,Unmapped
1122630,N/A,Unmapped
1122631,N/A,Unmapped
1122636,N/A,Unmapped
1122637,N/A,Unmapped
1122638,N/A,Unmapped
1122650,N/A,Unmapped
1122653,N/A,Unmapped
1122657,N/A,Unmapped
1122659,N/A,Unmapped
1122661,N/A,Unmapped
1122664,N/A,Unmapped
1122671,N/A,Unmapped
1122672,N/A,Unmapped
1122675,N/A,Unmapped
1122676,N/A,Unmapped
1122677,N/A,Unmapped
1122678,N/A,Unmapped
1122679,N/A,Unmapped
1122683,N/A,Unmapped
1122684,N/A,Unmapped
1122685,N/A,Unmapped
1122687,N/A,Unmapped
1122689,N/A,Unmapped
1122694,N/A,Unmapped
1122695,N/A,Unmapped
1122699,N/A,Unmapped
1122700,N/A,Unmapped
1122704,N/A,Unmapped
1122707,N/A,Unmapped
1122708,N/A,Unmapped
1122709,N/A,Unmapped
1122711,N/A,Unmapped
1122717,N/A,Unmapped
1122718,N/A,Unmapped
1122719,N/A,Unmapped
1122720,N/A,Unmapped
1122721,N/A,Unmapped
1122722,N/A,Unmapped
