Item_Id,vtex_sku_id,product_name,Location_Id,unit_of_measure,hana_qty,pub_qty,unit_cost_clp,total_cost_clp,action,case_reason
2041945,N/A,Unknown Product,J796,UN,18.0,18.0,1205.0,21681.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1139676,N/A,Unknown Product,J633,UN,2.0,2.0,10840.0,21680.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2062259,164218,Servilleta Flores Pequeñas 33 x 33 cm 20 un.,J508,UN,16.0,16.0,1355.0,21680.0,NO PUBLICAR,LISTADO BAJA
2041944,N/A,Unknown Product,J514,UN,18.0,18.0,1204.0,21679.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2041198,N/A,Unknown Product,J780,UN,14.0,14.0,1548.0,21678.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1756606,N/A,Unknown Product,J534,UN,3.0,3.0,7226.0,21678.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2044950,N/A,Unknown Product,J502,UN,24.0,24.0,903.0,21678.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1756606,N/A,Unknown Product,J503,UN,3.0,3.0,7226.0,21678.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2023554,N/A,Unknown Product,J519,UN,34.0,34.0,638.0,21677.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2023566,N/A,Unknown Product,J503,UN,34.0,34.0,638.0,21677.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2049744,N/A,Unknown Product,J591,UN,3.0,3.0,7225.0,21676.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2051221,N/A,Unknown Product,J796,UN,8.0,8.0,2710.0,21676.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2023566,N/A,Unknown Product,J521,UN,34.0,34.0,638.0,21675.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046788,N/A,Unknown Product,J619,UN,9.0,9.0,2408.0,21675.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2051221,N/A,Unknown Product,J512,UN,8.0,8.0,2709.0,21675.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1362174,N/A,Unknown Product,J633,UN,2.0,2.0,10837.0,21674.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1362174,N/A,Unknown Product,J781,UN,2.0,2.0,10837.0,21674.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1362174,N/A,Unknown Product,J614,UN,2.0,2.0,10837.0,21674.0,NO PUBLICAR,JERARQUIA DESHABILITADA
